Elapsed Time (s),Ongoing Flows,RTT (ms),bw-core (mbit),bw-node (mbit),hops
0.1,0,0.139865859,500,200,4
0.201,0,1.388450851,500,200,4
0.301,0,0.130266963,500,200,4
0.402,5,6.006048757,500,200,4
0.503,5,10.27097524,500,200,4
0.603,4,9.842550522,500,200,4
0.704,6,13.31771752,500,200,4
0.805,3,9.102428035,500,200,4
0.906,1,3.989106563,500,200,4
1.007,2,1.880099828,500,200,4
1.107,8,6.493528004,500,200,4
1.208,12,13.57728206,500,200,4
1.31,7,13.04922719,500,200,4
1.411,5,6.177252879,500,200,4
1.511,7,12.90398608,500,200,4
1.612,5,6.437809768,500,200,4
1.713,7,8.718392549,500,200,4
1.813,6,7.547773227,500,200,4
1.913,1,7.968000858,500,200,4
2.014,5,8.415716155,500,200,4
2.114,1,3.972762585,500,200,4
2.215,1,1.26054347,500,200,4
2.315,2,2.351618612,500,200,4
2.416,3,6.956194246,500,200,4
2.517,2,4.326590867,500,200,4
2.618,2,3.568346066,500,200,4
2.719,3,5.608877144,500,200,4
2.819,0,1.64455297,500,200,4
2.919,2,8.289242145,500,200,4
3.019,4,4.971396327,500,200,4
3.119,5,7.716537254,500,200,4
3.22,7,7.306024673,500,200,4
3.32,3,7.322282109,500,200,4
3.42,8,7.313459724,500,200,4
3.521,7,8.374109146,500,200,4
3.622,10,13.1254886,500,200,4
3.722,8,7.368661334,500,200,4
3.823,13,13.27437301,500,200,4
3.924,12,11.96769158,500,200,4
4.024,11,9.336225193,500,200,4
4.125,14,17.59172955,500,200,4
4.225,13,16.69100735,500,200,4
4.326,7,13.78143129,500,200,4
4.427,0,0.850175914,500,200,4
4.527,5,4.596737559,500,200,4
4.627,2,5.8357506,500,200,4
4.728,0,6.347141676,500,200,4
4.829,0,0.111420266,500,200,4
4.93,2,5.765321615,500,200,4
5.03,1,0.270663919,500,200,4
5.131,1,1.578449226,500,200,4
5.232,2,1.272320554,500,200,4
5.332,0,0.111386023,500,200,4
5.433,1,4.580868706,500,200,4
5.534,2,3.890501236,500,200,4
5.635,1,0.895531749,500,200,4
5.736,0,0.534748956,500,200,4
5.837,0,1.102826529,500,200,4
5.937,0,0.123631312,500,200,4
6.038,0,2.142258259,500,200,4
6.139,0,1.268513493,500,200,4
6.24,0,1.449512188,500,200,4
6.34,0,1.734569971,500,200,4
6.44,1,4.721151344,500,200,4
6.541,3,1.267945745,500,200,4
6.641,0,3.945099325,500,200,4
6.742,1,1.423280832,500,200,4
6.842,0,1.47045127,500,200,4
6.943,5,6.771828572,500,200,4
7.043,5,9.070584132,500,200,4
7.144,1,3.291842688,500,200,4
7.245,0,0.137813807,500,200,4
7.346,2,2.498029481,500,200,4
7.447,1,1.835258018,500,200,4
7.548,4,4.781324901,500,200,4
7.649,3,4.790855479,500,200,4
7.749,2,5.56978587,500,200,4
7.851,0,2.214477609,500,200,4
7.951,0,0.66125099,500,200,4
8.052,1,0.582312612,500,200,4
8.153,1,0.917831839,500,200,4
8.254,1,2.69472739,500,200,4
8.355,2,3.476915432,500,200,4
8.455,2,5.248148487,500,200,4
8.555,2,4.623590659,500,200,4
8.656,1,2.028576941,500,200,4
8.757,0,1.178617904,500,200,4
8.857,3,1.519780528,500,200,4
8.958,6,10.08955928,500,200,4
9.058,5,10.70581112,500,200,4
9.159,5,6.691937208,500,200,4
9.259,6,6.956770863,500,200,4
9.359,7,7.596958681,500,200,4
9.46,8,12.89687784,500,200,4
9.561,9,10.80838923,500,200,4
9.662,9,9.007038438,500,200,4
9.762,14,15.8870833,500,200,4
9.863,16,14.07184956,500,200,4
9.964,19,16.12393984,500,200,4
10.064,22,16.58900665,500,200,4
10.165,18,11.160012,500,200,4
10.265,17,16.36401286,500,200,4
10.366,20,17.74721485,500,200,4
10.467,12,10.40032559,500,200,4
10.568,13,13.60527708,500,200,4
10.668,12,8.137060199,500,200,4
10.769,19,16.33405179,500,200,4
10.87,18,7.970510518,500,200,4
10.97,21,18.9596852,500,200,4
11.07,25,18.35463171,500,200,4
11.171,20,12.98288731,500,200,4
11.272,21,13.75014343,500,200,4
11.373,27,17.59108009,500,200,4
11.474,26,14.0016223,500,200,4
11.574,21,9.452639463,500,200,4
11.675,24,14.96765146,500,200,4
11.775,23,14.68848091,500,200,4
11.876,11,9.87386721,500,200,4
11.976,0,9.577545623,500,200,4
12.077,0,0.132922984,500,200,4
12.178,1,1.17866202,500,200,4
12.279,0,0.194074952,500,200,4
12.379,0,0.146989111,500,200,4
12.48,4,4.386044895,500,200,4
12.581,1,2.449148167,500,200,4
12.682,0,0.463655275,500,200,4
12.783,1,1.950987099,500,200,4
12.884,2,5.097990651,500,200,4
